index,date,humidity,,,,,,,,,,,,,,
286,14/10/2014,73.5,,,,,,,,,,,,,,
287,15/10/2014,72.5,,,,,,,,,,,,,,
288,16/10/2014,74.7,,,,,,,,,,,,,,
289,17/10/2014,78.1,,,,,,,,,,,,,,
290,18/10/2014,82,,,,,,,,,,,,,,
291,19/10/2014,81.7,,,,,,,,,,,,,,
292,20/10/2014,83.9,,,,,,,,,,,,,,
293,21/10/2014,89.1,,,,,,,,,,,,,,
294,22/10/2014,85.8,,,,,,,,,,,,,,
295,23/10/2014,83.2,,,,,,,,,,,,,,
296,24/10/2014,89,,,,,,,,,,,,,,
297,25/10/2014,84.7,,,,,,,,,,,,,,
298,26/10/2014,73.8,,,,,,,,,,,,,,
299,27/10/2014,67.6,,,,,,,,,,,,,,
300,28/10/2014,64.9,,,,,,,,,,,,,,
301,29/10/2014,59,,,,,,,,,,,,,,
302,30/10/2014,68.2,,,,,,,,,,,,,,
303,31/10/2014,71.5,,,,,,,,,,,,,,
304,1/11/2014,67.5,,,,,,,,,,,,,,
305,2/11/2014,61.3,,,,,,,,,,,,,,
306,3/11/2014,70.9,,,,,,,,,,,,,,
307,4/11/2014,80.6,,,,,,,,,,,,,,
308,5/11/2014,77.8,,,,,,,,,,,,,,
309,6/11/2014,74.2,,,,,,,,,,,,,,
310,7/11/2014,79.4,,,,,,,,,,,,,,
311,8/11/2014,75.9,,,,,,,,,,,,,,
312,9/11/2014,76.1,,,,,,,,,,,,,,
313,10/11/2014,77.8,,,,,,,,,,,,,,
314,11/11/2014,70.2,,,,,,,,,,,,,,
315,12/11/2014,78.5,,,,,,,,,,,,,,
316,13/11/2014,83.9,,,,,,,,,,,,,,
317,14/11/2014,69.5,,,,,,,,,,,,,,
318,15/11/2014,76.5,,,,,,,,,,,,,,
319,16/11/2014,66.9,,,,,,,,,,,,,,
320,17/11/2014,69.2,,,,,,,,,,,,,,
321,18/11/2014,72,,,,,,,,,,,,,,
322,19/11/2014,74.4,,,,,,,,,,,,,,
323,20/11/2014,67,,,,,,,,,,,,,,
324,21/11/2014,54.6,,,,,,,,,,,,,,
325,22/11/2014,62.5,,,,,,,,,,,,,,
326,23/11/2014,64.4,,,,,,,,,,,,,,
327,24/11/2014,76.5,,,,,,,,,,,,,,
328,25/11/2014,80.6,,,,,,,,,,,,,,
329,26/11/2014,75.1,,,,,,,,,,,,,,
330,27/11/2014,75.2,,,,,,,,,,,,,,
331,28/11/2014,81.7,,,,,,,,,,,,,,
332,29/11/2014,70.7,,,,,,,,,,,,,,
333,30/11/2014,73.1,,,,,,,,,,,,,,
334,1/12/2014,74.7,,,,,,,,,,,,,,
335,2/12/2014,70.1,,,,,,,,,,,,,,
336,3/12/2014,75.9,,,,,,,,,,,,,,
337,4/12/2014,72.7,,,,,,,,,,,,,,
338,5/12/2014,76,,,,,,,,,,,,,,
339,6/12/2014,76.7,,,,,,,,,,,,,,
340,7/12/2014,73,,,,,,,,,,,,,,
341,8/12/2014,63.4,,,,,,,,,,,,,,
342,9/12/2014,64.5,,,,,,,,,,,,,,
343,10/12/2014,71.7,,,,,,,,,,,,,,
344,11/12/2014,76.2,,,,,,,,,,,,,,
345,12/12/2014,67.4,,,,,,,,,,,,,,
346,13/12/2014,66.2,,,,,,,,,,,,,,
347,14/12/2014,63.8,,,,,,,,,,,,,,
348,15/12/2014,68.5,,,,,,,,,,,,,,
349,16/12/2014,68.7,,,,,,,,,,,,,,
350,17/12/2014,76,,,,,,,,,,,,,,
351,18/12/2014,77.9,,,,,,,,,,,,,,
352,19/12/2014,75.8,,,,,,,,,,,,,,
353,20/12/2014,72.1,,,,,,,,,,,,,,
354,21/12/2014,73.9,,,,,,,,,,,,,,
355,22/12/2014,78.1,,,,,,,,,,,,,,
356,23/12/2014,80.5,,,,,,,,,,,,,,
357,24/12/2014,75.6,,,,,,,,,,,,,,
358,25/12/2014,83.1,,,,,,,,,,,,,,
359,26/12/2014,82.1,,,,,,,,,,,,,,
360,27/12/2014,79.7,,,,,,,,,,,,,,
361,28/12/2014,75.4,,,,,,,,,,,,,,
362,29/12/2014,78.8,,,,,,,,,,,,,,
363,30/12/2014,78.2,,,,,,,,,,,,,,
364,31/12/2014,80.5,,,,,,,,,,,,,,
365,1/1/2015,75.1,,,,,,,,,,,,,,
366,2/1/2015,77.8,,,,,,,,,,,,,,
367,3/1/2015,75.6,,,,,,,,,,,,,,
368,4/1/2015,76.2,,,,,,,,,,,,,,
369,5/1/2015,86.3,,,,,,,,,,,,,,
370,6/1/2015,84,,,,,,,,,,,,,,
371,7/1/2015,81.8,,,,,,,,,,,,,,
372,8/1/2015,79.8,,,,,,,,,,,,,,
373,9/1/2015,82.5,,,,,,,,,,,,,,
374,10/1/2015,83.1,,,,,,,,,,,,,,
375,11/1/2015,79.8,,,,,,,,,,,,,,
376,12/1/2015,81.5,,,,,,,,,,,,,,
377,13/1/2015,83.4,,,,,,,,,,,,,,
378,14/1/2015,81.2,,,,,,,,,,,,,,
379,15/1/2015,79.8,,,,,,,,,,,,,,
380,16/1/2015,79.7,,,,,,,,,,,,,,
381,17/1/2015,80.1,,,,,,,,,,,,,,
382,18/1/2015,88.3,,,,,,,,,,,,,,
383,19/1/2015,82.8,,,,,,,,,,,,,,
384,20/1/2015,73.4,,,,,,,,,,,,,,
385,21/1/2015,80.7,,,,,,,,,,,,,,
386,22/1/2015,77,,,,,,,,,,,,,,
387,23/1/2015,84.8,,,,,,,,,,,,,,
388,24/1/2015,83.2,,,,,,,,,,,,,,
389,25/1/2015,73.2,,,,,,,,,,,,,,
390,26/1/2015,76,,,,,,,,,,,,,,
391,27/1/2015,74,,,,,,,,,,,,,,
392,28/1/2015,74,,,,,,,,,,,,,,
393,29/1/2015,77.1,,,,,,,,,,,,,,
394,30/1/2015,76.9,,,,,,,,,,,,,,
395,31/1/2015,80.6,,,,,,,,,,,,,,
396,1/2/2015,79.6,,,,,,,,,,,,,,
397,2/2/2015,85.3,,,,,,,,,,,,,,
398,3/2/2015,76.7,,,,,,,,,,,,,,
399,4/2/2015,75,,,,,,,,,,,,,,
400,5/2/2015,69.8,,,,,,,,,,,,,,
401,6/2/2015,75.2,,,,,,,,,,,,,,
402,7/2/2015,75.8,,,,,,,,,,,,,,
403,8/2/2015,79.2,,,,,,,,,,,,,,
404,9/2/2015,76.9,,,,,,,,,,,,,,
405,10/2/2015,69.8,,,,,,,,,,,,,,
406,11/2/2015,82.7,,,,,,,,,,,,,,
407,12/2/2015,79.2,,,,,,,,,,,,,,
408,13/2/2015,75.7,,,,,,,,,,,,,,
409,14/2/2015,76.1,,,,,,,,,,,,,,
410,15/2/2015,76.6,,,,,,,,,,,,,,
411,16/2/2015,79.8,,,,,,,,,,,,,,
412,17/2/2015,77.3,,,,,,,,,,,,,,
413,18/2/2015,81.8,,,,,,,,,,,,,,
414,19/2/2015,74.2,,,,,,,,,,,,,,
415,20/2/2015,76.2,,,,,,,,,,,,,,
416,21/2/2015,74.8,,,,,,,,,,,,,,
417,22/2/2015,88.4,,,,,,,,,,,,,,
418,23/2/2015,84.4,,,,,,,,,,,,,,
419,24/2/2015,85.3,,,,,,,,,,,,,,
420,25/2/2015,88.4,,,,,,,,,,,,,,
421,26/2/2015,86.2,,,,,,,,,,,,,,
422,27/2/2015,86.8,,,,,,,,,,,,,,
423,28/2/2015,91.6,,,,,,,,,,,,,,
424,1/3/2015,86,,,,,,,,,,,,,,
425,2/3/2015,90.3,,,,,,,,,,,,,,
426,3/3/2015,88,,,,,,,,,,,,,,
427,4/3/2015,82.7,,,,,,,,,,,,,,
428,5/3/2015,83.9,,,,,,,,,,,,,,
429,6/3/2015,83.7,,,,,,,,,,,,,,
430,7/3/2015,85.4,,,,,,,,,,,,,,
431,8/3/2015,88.6,,,,,,,,,,,,,,
432,9/3/2015,76.8,,,,,,,,,,,,,,
433,10/3/2015,68.2,,,,,,,,,,,,,,
434,11/3/2015,79.3,,,,,,,,,,,,,,
435,12/3/2015,77.4,,,,,,,,,,,,,,
436,13/3/2015,80,,,,,,,,,,,,,,
437,14/3/2015,83.5,,,,,,,,,,,,,,
438,15/3/2015,76.8,,,,,,,,,,,,,,
439,16/3/2015,82.5,,,,,,,,,,,,,,
440,17/3/2015,86.1,,,,,,,,,,,,,,
441,18/3/2015,81.8,,,,,,,,,,,,,,
442,19/3/2015,78.2,,,,,,,,,,,,,,
443,20/3/2015,75.9,,,,,,,,,,,,,,
444,21/3/2015,79.9,,,,,,,,,,,,,,
445,22/3/2015,79.8,,,,,,,,,,,,,,
446,23/3/2015,78.1,,,,,,,,,,,,,,
447,24/3/2015,84.3,,,,,,,,,,,,,,
448,25/3/2015,82.8,,,,,,,,,,,,,,
449,26/3/2015,84.1,,,,,,,,,,,,,,
450,27/3/2015,86.4,,,,,,,,,,,,,,
451,28/3/2015,87.5,,,,,,,,,,,,,,
452,29/3/2015,85.7,,,,,,,,,,,,,,
453,30/3/2015,88.9,,,,,,,,,,,,,,
454,31/3/2015,83.4,,,,,,,,,,,,,,
455,1/4/2015,84.4,,,,,,,,,,,,,,
456,2/4/2015,74.8,,,,,,,,,,,,,,
457,3/4/2015,73,,,,,,,,,,,,,,
458,4/4/2015,71.8,,,,,,,,,,,,,,
459,5/4/2015,78.6,,,,,,,,,,,,,,
460,6/4/2015,87.8,,,,,,,,,,,,,,
461,7/4/2015,90,,,,,,,,,,,,,,
462,8/4/2015,83,,,,,,,,,,,,,,
463,9/4/2015,84.4,,,,,,,,,,,,,,
464,10/4/2015,83.9,,,,,,,,,,,,,,
465,11/4/2015,76.7,,,,,,,,,,,,,,
466,12/4/2015,82.8,,,,,,,,,,,,,,
467,13/4/2015,81.3,,,,,,,,,,,,,,
468,14/4/2015,83.3,,,,,,,,,,,,,,
469,15/4/2015,81,,,,,,,,,,,,,,
470,16/4/2015,81.8,,,,,,,,,,,,,,
471,17/4/2015,84.5,,,,,,,,,,,,,,
472,18/4/2015,82.3,,,,,,,,,,,,,,
473,19/4/2015,80.5,,,,,,,,,,,,,,
474,20/4/2015,71.8,,,,,,,,,,,,,,
475,21/4/2015,74.7,,,,,,,,,,,,,,
476,22/4/2015,81.4,,,,,,,,,,,,,,
477,23/4/2015,81.2,,,,,,,,,,,,,,
478,24/4/2015,80.5,,,,,,,,,,,,,,
479,25/4/2015,81.1,,,,,,,,,,,,,,
480,26/4/2015,87.6,,,,,,,,,,,,,,
481,27/4/2015,93,,,,,,,,,,,,,,
482,28/4/2015,87.7,,,,,,,,,,,,,,
483,29/4/2015,87.6,,,,,,,,,,,,,,
484,30/4/2015,83.5,,,,,,,,,,,,,,
485,1/5/2015,75.4,,,,,,,,,,,,,,
486,2/5/2015,84.6,,,,,,,,,,,,,,
487,3/5/2015,80.7,,,,,,,,,,,,,,
488,4/5/2015,78.1,,,,,,,,,,,,,,
489,5/5/2015,80.1,,,,,,,,,,,,,,
490,6/5/2015,71.9,,,,,,,,,,,,,,
491,7/5/2015,70.2,,,,,,,,,,,,,,
492,8/5/2015,71.7,,,,,,,,,,,,,,
493,9/5/2015,89.2,,,,,,,,,,,,,,
494,10/5/2015,84,,,,,,,,,,,,,,
495,11/5/2015,87.1,,,,,,,,,,,,,,
496,12/5/2015,85.1,,,,,,,,,,,,,,
497,13/5/2015,88.1,,,,,,,,,,,,,,
498,14/5/2015,83.2,,,,,,,,,,,,,,
499,15/5/2015,87.1,,,,,,,,,,,,,,
500,16/5/2015,73,,,,,,,,,,,,,,
501,17/5/2015,72.9,,,,,,,,,,,,,,
502,18/5/2015,74.4,,,,,,,,,,,,,,
503,19/5/2015,71.9,,,,,,,,,,,,,,
504,20/5/2015,88.1,,,,,,,,,,,,,,
505,21/5/2015,85.5,,,,,,,,,,,,,,
506,22/5/2015,82.8,,,,,,,,,,,,,,
507,23/5/2015,87.7,,,,,,,,,,,,,,
508,24/5/2015,84.3,,,,,,,,,,,,,,
509,25/5/2015,87.1,,,,,,,,,,,,,,
510,26/5/2015,85,,,,,,,,,,,,,,
511,27/5/2015,88.2,,,,,,,,,,,,,,
512,28/5/2015,81.6,,,,,,,,,,,,,,
513,29/5/2015,73.4,,,,,,,,,,,,,,
514,30/5/2015,79.6,,,,,,,,,,,,,,
515,31/5/2015,72.4,,,,,,,,,,,,,,
516,1/6/2015,70.9,,,,,,,,,,,,,,
517,2/6/2015,73.4,,,,,,,,,,,,,,
